Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,1.9837623158104
C168090291,C107418235,1.5736226891158638
C168090291,C190269828,2.1564185421170228
C168090291,C115051666,1.2258942841972447
C168090291,C93038891,1.664491377625138
C168090291,C199185054,2.496073994894728
C168090291,C136197465,2.4077776061343736
C168090291,C114852677,1.7203243895312141
C168090291,C185544564,2.757471402913902
C168090291,C522805319,1.218513980987317
C168090291,C127413603,5.8962736140898455
C168090291,C2780310539,4.769840915742796
C168090291,C44838205,1.5863631851620568
C168090291,C32546565,1.218513980987317
C168090291,C171250308,2.613863733721009
C168090291,C120314980,2.385205936599885
C168090291,C32270708,2.4048072528633204
C168090291,C111919701,6.117073262390943
C168090291,C66601787,1.407787510264969
C168090291,C182953411,3.9799385721717453
C168090291,C2776459999,3.686732086138645
C168090291,C71987851,1.0396454183534722
C168090291,C169760540,1.5736226891158638
C168090291,C143724316,1.038598345528137
C168090291,C97355855,3.871221363493036
C168090291,C147120987,1.5993842080908494
C168090291,C158456648,3.957308707119515
C168090291,C198377831,2.2585312314813986
C168090291,C74214498,1.4001679012048514
C168090291,C206003972,1.6419660421366529
C168090291,C114671716,1.7916900073525917
C168090291,C202444582,3.119916999200849
C168090291,C144271403,1.9378764765013154
C168090291,C29248071,1.9378764765013154
C168090291,C195766429,3.853497935340017
C168090291,C62850752,0.8435618514302031
C168090291,C190463098,8.020971887610697
C168090291,C125411270,4.080034942031031
C168090291,C113603373,0.8433522240617839
C168090291,C157486923,3.686732086138645
C168090291,C2776257435,2.191196371363242
C168090291,C2780586882,3.3708983238186008
C168090291,C195545963,4.080034942031031
C168090291,C61696701,1.0281388842420471
C168090291,C153946474,1.4273916258433461
C168090291,C169268690,1.4001679012048514
C168090291,C153294291,1.4539831339516802
C168090291,C142465778,2.8903099328916912
C168090291,C85604662,2.139535166908254
C168090291,C86339819,2.9117567772781556
C168090291,C547195049,2.0848599578172027
C168090291,C55615164,2.3537642209267737
C168090291,C118552586,1.218513980987317
C168090291,C113775141,3.6681273961724825
C168090291,C151730666,1.9800274901983492
C168090291,C2780801425,1.8636397738582624
C168090291,C33332235,4.5489648641541525
C168090291,C155355069,1.02526406648983
C168090291,C82706917,1.234911067160109
C168090291,C2778476455,1.0192976741013189
C168090291,C2778870898,3.8601061872193316
