Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,1.9869938667136493
C168090291,C107418235,1.5778783306948405
C168090291,C190269828,1.9651392527646383
C168090291,C115051666,1.2285771991085865
C168090291,C93038891,1.66674919554267
C168090291,C199185054,2.502773915050398
C168090291,C136197465,2.413715440148563
C168090291,C114852677,1.7232711891354993
C168090291,C185544564,2.7602778568233424
C168090291,C522805319,1.2211968958986588
C168090291,C127413603,5.9061749318843875
C168090291,C2780310539,4.773991289324509
C168090291,C44838205,1.5890461000733986
C168090291,C32546565,1.2211968958986588
C168090291,C171250308,2.6213742944028335
C168090291,C120314980,2.3893563101815976
C168090291,C32270708,2.4132411119874924
C168090291,C111919701,6.133657030238654
C168090291,C66601787,1.412307036536889
C168090291,C182953411,3.996522340019455
C168090291,C2776459999,3.6908824597203576
C168090291,C71987851,1.0447498650767897
C168090291,C169760540,1.5778783306948405
C168090291,C143724316,1.040856163445669
C168090291,C97355855,3.881122681287578
C168090291,C147120987,1.6063461327807658
C168090291,C158456648,3.975371076781434
C168090291,C198377831,2.2653923639379356
C168090291,C74214498,1.404138791484864
C168090291,C206003972,1.6443642057490306
C168090291,C114671716,1.7970792053748732
C168090291,C202444582,3.1261932112059876
C168090291,C144271403,1.949861405573905
C168090291,C29248071,1.949861405573905
C168090291,C195766429,3.8597741473451563
C168090291,C62850752,0.8459600150425808
C168090291,C190463098,8.045384719747492
C168090291,C125411270,4.087229976714633
C168090291,C113603373,0.8453252906803519
C168090291,C157486923,3.6908824597203576
C168090291,C2776257435,2.1944279222664913
C168090291,C2780586882,3.377754980511254
C168090291,C195545963,4.087229976714633
C168090291,C61696701,1.03168467752825
C168090291,C153946474,1.430074540754688
C168090291,C169268690,1.404138791484864
C168090291,C153294291,1.4565048365621558
C168090291,C142465778,2.9005432382645258
C168090291,C85604662,2.141792984825786
C168090291,C86339819,2.915907150859868
C168090291,C547195049,2.0894703337391896
C168090291,C55615164,2.3716462775139195
C168090291,C118552586,1.2211968958986588
C168090291,C113775141,3.678360701545317
C168090291,C151730666,1.984283131777326
C168090291,C2780801425,1.8668713247615116
C168090291,C33332235,4.560670103961241
C168090291,C155355069,1.0277857691003056
C168090291,C82706917,1.237168885077641
C168090291,C2778476455,1.0216958377136964
C168090291,C2778870898,3.8700075050138736
C168090291,C78902741,1.2211968958986588
C168090291,C104114177,1.868189289331832
C168090291,C179061269,1.949861405573905
C168090291,C80444323,6.874479294633434
C168090291,C41895202,5.000294994019265
C168090291,C18762648,0.8459600150425808
C168090291,C9417928,1.4640407464158012
C168090291,C159149176,2.0894703337391896
C168090291,C2781402376,1.5778783306948405
C168090291,C148730421,1.3915189438469424
C168090291,C204030448,2.035847551469117
C168090291,C26517878,4.168308613667989
C168090291,C21690051,1.2311092519246878
C168090291,C98045186,2.3316662895973748
C168090291,C11577676,2.763463277324745
C168090291,C32848918,3.4262529627716
C168090291,C506630978,2.7602778568233424
C168090291,C2781204021,1.0277857691003056
C168090291,C140058369,1.2671598681404257
C168090291,C46141821,1.2211968958986588
C168090291,C19271316,4.140378566679778
C168090291,C78336883,1.4941086191734443
C168090291,C103088060,3.899179482031116
C168090291,C45374587,5.7580764796928445
C168090291,C21200559,4.025270616970234
C168090291,C45206210,1.815223777636795
C168090291,C104434177,3.696984120150374
C168090291,C106289968,1.8391799183063178
C168090291,C58053490,7.815844788385528
C168090291,C9390403,2.270035538784436
C168090291,C71924100,2.492096456909775
C168090291,C24326235,4.868461864349128
C168090291,C47091857,1.6233396661648967
C168090291,C2780009758,4.646083342293899
C168090291,C63882131,2.049134901456898
C168090291,C27753989,4.737779944358016
C168090291,C26713055,2.050637626122638
C168090291,C42704618,3.881122681287578
C168090291,C9652623,3.1261932112059876
C168090291,C521332185,1.4565048365621558
C168090291,C159317903,7.143643333956625
C168090291,C89298294,1.3905157029815483
C168090291,C150724011,0.8459600150425808
C168090291,C62611344,2.2223058933242816
C168090291,C18480692,0.8453252906803519
C168090291,C24890656,1.676569097593398
C168090291,C74939445,3.648011342255776
C168090291,C74650414,1.868189289331832
C168090291,C95013731,5.297371762671914
C168090291,C2781181686,5.660964408620727
C168090291,C67820243,1.8673921106073712
C168090291,C2985428132,1.850267518891954
C168090291,C15706264,5.036803113146165
C168090291,C2778204307,1.404138791484864
C168090291,C99692599,2.2179282773984723
C168090291,C26351279,0.8459600150425808
C168090291,C91275184,0.8459600150425808
C168090291,C163716698,0.8459600150425808
C168090291,C86844869,2.049134901456898
