Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,2.0863313494340776
C168090291,C190269828,2.093669160482436
C168090291,C199185054,2.629979037999433
C168090291,C136197465,2.5381464692039035
C168090291,C114852677,1.8260518005592457
C168090291,C185544564,2.968531492853243
C168090291,C522805319,1.2964266919703784
C168090291,C127413603,2.347895139535922
C168090291,C2780310539,5.038432369970487
C168090291,C44838205,1.0898962808052648
C168090291,C32546565,1.2964266919703784
C168090291,C32270708,1.5426546289774412
C168090291,C120314980,1.3006474513061896
C168090291,C182953411,4.212411161527263
C168090291,C111919701,6.230430759150114
C168090291,C66601787,1.4873097800035604
C168090291,C2776459999,3.8737128858485543
C168090291,C143724316,1.0898962808052648
C168090291,C97355855,3.856391678529999
C168090291,C147120987,1.3162796298260664
C168090291,C158456648,4.196301730015092
C168090291,C206003972,1.1268542143583957
C168090291,C114671716,1.9042093790861676
C168090291,C202444582,1.4761134787019026
C168090291,C29248071,2.0628053371707757
C168090291,C144271403,2.0628053371707757
C168090291,C62850752,0.8910910054563853
C168090291,C190463098,5.336117166593349
C168090291,C125411270,3.8737128858485543
C168090291,C113603373,0.8945157207842784
C168090291,C157486923,3.8737128858485543
C168090291,C2776257435,2.323739446649351
C168090291,C2780586882,3.5527945669938794
C168090291,C195545963,3.8737128858485543
C168090291,C153946474,1.2964266919703784
C168090291,C169268690,1.4977916893023215
C168090291,C153294291,1.540803138966675
C168090291,C142465778,3.0447178743394674
C168090291,C86339819,3.0826547016480914
C168090291,C547195049,2.1965712257059495
C168090291,C55615164,2.4994966589422365
C168090291,C118552586,1.2964266919703784
C168090291,C2780801425,1.9983388838339784
C168090291,C113775141,1.911872951192953
C168090291,C151730666,1.0898962808052648
C168090291,C33332235,3.462892500493093
C168090291,C78902741,1.2964266919703784
C168090291,C2778870898,3.2544536986461994
C168090291,C179061269,2.0628053371707757
C168090291,C80444323,6.603446476738314
C168090291,C41895202,5.279795508279762
C168090291,C18762648,0.8910910054563853
C168090291,C159149176,2.1965712257059495
C168090291,C26517878,3.261949109232291
C168090291,C204030448,2.1309581658921566
C168090291,C21690051,1.3162796298260664
C168090291,C98045186,2.4780248238562645
C168090291,C506630978,2.968531492853243
C168090291,C46141821,1.2964266919703784
C168090291,C19271316,4.359723485215174
C168090291,C78336883,1.5793160713098005
C168090291,C103088060,3.0826547016480914
C168090291,C45374587,5.640393909806895
C168090291,C21200559,1.2964266919703784
C168090291,C104434177,3.483663852414534
C168090291,C58053490,7.775067698293096
C168090291,C71924100,2.6307845188753443
C168090291,C24326235,1.2964266919703784
C168090291,C2780009758,4.0176154967509525
C168090291,C27753989,4.563965506283759
C168090291,C42704618,3.856391678529999
C168090291,C9652623,1.4761134787019026
C168090291,C521332185,1.540803138966675
C168090291,C159317903,6.0281859243507805
C168090291,C89298294,1.4761134787019026
C168090291,C150724011,0.8910910054563853
C168090291,C62611344,2.324831896511636
C168090291,C18480692,0.8945157207842784
C168090291,C24890656,1.5793160713098005
C168090291,C74939445,3.842065541127627
C168090291,C95013731,4.234898628692783
C168090291,C67820243,1.9433528056981073
C168090291,C2781181686,4.82162544016369
C168090291,C15706264,3.1618182144733455
C168090291,C2778204307,1.4977916893023215
C168090291,C91275184,0.8910910054563853
C168090291,C204530211,1.540803138966675
C168090291,C77088390,4.657674881668938
C168090291,C185592680,4.1349128880366415
C168090291,C108225325,1.4761134787019026
C168090291,C178790620,2.1309581658921566
C168090291,C2985568454,1.7935630625834391
C168090291,C78203541,2.5132334969712504
C168090291,C131671149,2.0628053371707757
C168090291,C177731217,1.2916923977467554
C168090291,C77805123,1.2964266919703784
C168090291,C15336307,1.5793160713098005
C168090291,C76790566,0.8910910054563853
C168090291,C162967359,2.5277462119101637
C168090291,C119599485,2.1267437117412578
C168090291,C109546105,1.1101803382705002
C168090291,C17744445,2.745753419597338
C168090291,C48103436,3.840537868722061
C168090291,C520434653,2.5942852522886297
C168090291,C2987822364,4.171602320426276
C168090291,C149635348,2.3118773310731693
C168090291,C58312451,2.3118773310731693
C168090291,C2778496695,1.9983388838339784
C168090291,C204787440,2.6307845188753443
C168090291,C144237770,1.9983388838339784
C168090291,C207579572,0.8945157207842784
C168090291,C144901912,4.559996704299803
C168090291,C50820777,2.7829467922701707
C168090291,C2779832538,1.5793160713098005
C168090291,C2780385302,1.940706836224175
C168090291,C2778361524,3.3861845242700426
C168090291,C117251300,1.540803138966675
C168090291,C78854221,1.083977311629254
C168090291,C94915269,1.5793160713098005
C168090291,C135402231,1.083977311629254
C168090291,C122527463,4.461972356731665
C168090291,C161166931,2.8681443068478734
C168090291,C190475519,1.7112150590463195
C168090291,C48983235,1.2916923977467554
C168090291,C38652104,3.261949109232291
C168090291,C71799126,1.5426546289774412
C168090291,C179371143,1.9433528056981073
C168090291,C169460222,3.4360849057251546
C168090291,C199539241,2.745753419597338
C168090291,C166733315,1.310316135403324
C168090291,C69497775,1.5052134960963102
C168090291,C145148216,0.8910910054563853
C168090291,C126255220,1.9433528056981073
C168090291,C192061203,2.0628053371707757
C168090291,C20593774,5.526787084994459
C168090291,C130787639,1.9433528056981073
C168090291,C177142836,1.9983388838339784
C168090291,C208081375,0.8945157207842784
C168090291,C74130334,1.4761134787019026
C168090291,C158448853,3.0826547016480914
C168090291,C2779960059,5.038432369970487
C168090291,C39927690,3.8737128858485543
C168090291,C102565666,2.1820359577891377
C168090291,C124657808,1.6872532801472973
C168090291,C181500209,2.3118773310731693
C168090291,C2781089630,2.7499433204350763
C168090291,C142724271,2.6307845188753443
C168090291,C138268822,2.129197651175857
C168090291,C163716315,2.521253240545582
C168090291,C68717125,4.208228082315347
C168090291,C59500034,2.855580250309649
C168090291,C2778184138,1.7174238610121475
C168090291,C94375191,2.6395916660082706
C168090291,C178596936,1.3898544804648247
C168090291,C205049153,1.080552596301361
C168090291,C95466800,4.4232346077839795
C168090291,C22984246,5.334286616582874
C168090291,C17020691,3.0826547016480914
C168090291,C187678412,2.7492862706492978
C168090291,C132525143,1.310316135403324
C168090291,C115260700,1.2964266919703784
C168090291,C2776175482,2.7829467922701707
C168090291,C158622935,1.083977311629254
C168090291,C32891209,3.4223792703687703
C168090291,C31872934,2.013660774606467
C168090291,C184551789,1.8260518005592457
C168090291,C131017901,2.807429399835905
C168090291,C49040817,1.8826338401682838
C168090291,C91717678,4.736363993936813
C168090291,C556910895,1.2964266919703784
C168090291,C119382340,1.7419015608752957
C168090291,C116696211,1.3162796298260664
C168090291,C154255573,3.6300602596249507
C168090291,C120665830,4.2112061321372405
C168090291,C181543814,2.479468040878056
C168090291,C152026323,3.737030840182013
C168090291,C2776760102,3.0826547016480914
C168090291,C71191651,1.6819759480216503
C168090291,C2777288060,2.5298387382049174
C168090291,C28855332,2.204438175389545
C168090291,C32022120,3.065874353528947
C168090291,C2776261394,1.6916390025578623
C168090291,C2776646148,1.540803138966675
C168090291,C124148022,4.909033482116129
C168090291,C177148314,1.7332684346572562
C168090291,C155675718,2.118728291569077
C168090291,C33980943,0.8945157207842784
C168090291,C194975256,2.4994966589422365
