Concept1,Concept2,AdamicAdarScore
C168090291,C125112378,2.1041968518682066
C168090291,C190269828,2.118866218194672
C168090291,C199185054,2.6665042792139677
C168090291,C136197465,2.5730779547228684
C168090291,C114852677,1.8508003905833041
C168090291,C185544564,2.9975385387580915
C168090291,C522805319,1.3055134026584594
C168090291,C127413603,1.970199022320284
C168090291,C2780310539,5.070989558565892
C168090291,C44838205,1.0994511544408945
C168090291,C32546565,1.3055134026584594
C168090291,C32270708,1.1371310270014197
C168090291,C120314980,1.3134542851836777
C168090291,C182953411,4.262511005964811
C168090291,C111919701,6.284952564685723
C168090291,C66601787,1.510578746883265
C168090291,C2776459999,3.903975152731549
C168090291,C143724316,1.0994511544408945
C168090291,C97355855,3.6957254458710223
C168090291,C147120987,0.8986435391815426
C168090291,C158456648,3.406587592935021
C168090291,C206003972,1.1371310270014197
C168090291,C114671716,1.9287165753527362
C168090291,C202444582,1.0938970349369785
C168090291,C29248071,2.083883099436348
C168090291,C144271403,2.083883099436348
C168090291,C62850752,0.8986435391815426
C168090291,C190463098,5.395328826267373
C168090291,C125411270,3.903975152731549
C168090291,C113603373,0.9025368212798092
C168090291,C157486923,3.903975152731549
C168090291,C2776257435,2.339703537417851
C168090291,C2780586882,3.5820584324448936
C168090291,C195545963,3.903975152731549
C168090291,C153946474,1.3055134026584594
C168090291,C169268690,1.51955594723944
C168090291,C153294291,1.5507228622743996
C168090291,C142465778,3.0898389615087902
C168090291,C86339819,3.099186917102635
C168090291,C547195049,2.210151761539424
C168090291,C55615164,2.52565314021453
C168090291,C118552586,1.3055134026584594
C168090291,C2780801425,2.011619139046664
C168090291,C113775141,1.948471160775508
C168090291,C151730666,1.0994511544408945
C168090291,C33332235,3.4981584119712528
C168090291,C78902741,1.3055134026584594
C168090291,C2778870898,3.0889621192175225
C168090291,C179061269,2.083883099436348
C168090291,C80444323,6.662529463650497
C168090291,C41895202,5.312352696875167
C168090291,C18762648,0.8986435391815426
C168090291,C159149176,2.210151761539424
C168090291,C26517878,3.282335161098853
C168090291,C21690051,0.8986435391815426
C168090291,C98045186,2.5123281117264087
C168090291,C506630978,2.9975385387580915
C168090291,C46141821,1.3055134026584594
C168090291,C19271316,4.416679432741705
C168090291,C78336883,1.5888713487682549
C168090291,C103088060,3.099186917102635
C168090291,C45374587,5.695059935647219
C168090291,C21200559,1.3055134026584594
C168090291,C104434177,2.767946549267503
C168090291,C58053490,7.836406397352772
C168090291,C71924100,1.5888713487682549
C168090291,C24326235,1.3055134026584594
C168090291,C2780009758,3.099186917102635
C168090291,C27753989,4.6070235200550815
C168090291,C42704618,3.6957254458710223
C168090291,C9652623,1.0938970349369785
C168090291,C521332185,1.5507228622743996
C168090291,C159317903,6.102695017511513
C168090291,C150724011,0.8986435391815426
C168090291,C62611344,2.349321653720339
C168090291,C18480692,0.9025368212798092
C168090291,C24890656,1.5888713487682549
C168090291,C74939445,3.889923882323745
C168090291,C95013731,3.455947497650192
C168090291,C67820243,1.9637254786329152
C168090291,C2781181686,4.235357860433177
C168090291,C15706264,3.2109610203814456
C168090291,C2778204307,1.51955594723944
C168090291,C91275184,0.8986435391815426
C168090291,C204530211,1.5507228622743996
C168090291,C77088390,3.099186917102635
C168090291,C185592680,3.2909438334828462
C168090291,C108225325,0.8986435391815426
C168090291,C2985568454,1.8031179362190684
C168090291,C78203541,2.5314925094521614
C168090291,C131671149,2.083883099436348
C168090291,C177731217,1.3019337670539308
C168090291,C77805123,1.3055134026584594
C168090291,C15336307,1.5888713487682549
C168090291,C76790566,0.8986435391815426
C168090291,C119599485,1.561183960243675
C168090291,C17744445,2.770641686879026
C168090291,C48103436,3.8929326348720195
C168090291,C520434653,2.619482310000865
C168090291,C2987822364,4.2063697111178575
C168090291,C149635348,2.341097839810482
C168090291,C58312451,2.341097839810482
C168090291,C2778496695,2.011619139046664
C168090291,C207579572,0.9025368212798092
C168090291,C144237770,2.011619139046664
C168090291,C204787440,1.5888713487682549
C168090291,C144901912,4.382180016261295
C168090291,C50820777,2.819701989339117
C168090291,C2779832538,1.5888713487682549
C168090291,C2778361524,3.421579510316326
C168090291,C117251300,1.5507228622743996
C168090291,C78854221,1.0938970349369785
C168090291,C94915269,1.5888713487682549
C168090291,C135402231,1.0938970349369785
C168090291,C122527463,4.509581408185714
C168090291,C161166931,2.9066411392426224
C168090291,C190475519,1.745518346916464
C168090291,C48983235,1.3019337670539308
C168090291,C38652104,3.282335161098853
C168090291,C71799126,1.1371310270014197
C168090291,C179371143,1.9637254786329152
C168090291,C169460222,3.4879232795277746
C168090291,C199539241,2.770641686879026
C168090291,C69497775,1.5176240310735811
C168090291,C145148216,0.8986435391815426
C168090291,C126255220,1.9637254786329152
C168090291,C192061203,2.083883099436348
C168090291,C20593774,5.365118840878901
C168090291,C130787639,1.9637254786329152
C168090291,C177142836,2.011619139046664
C168090291,C208081375,0.9025368212798092
C168090291,C74130334,0.8986435391815426
C168090291,C158448853,3.099186917102635
C168090291,C2779960059,5.070989558565892
C168090291,C39927690,3.903975152731549
C168090291,C102565666,2.2024086307239457
C168090291,C124657808,1.51955594723944
C168090291,C181500209,2.341097839810482
C168090291,C2781089630,2.7795573392191706
C168090291,C138268822,2.14703949158794
C168090291,C142724271,1.5888713487682549
C168090291,C163716315,2.548745219970228
C168090291,C68717125,4.02169126101319
C168090291,C59500034,2.8986382640809705
C168090291,C2778184138,1.729667570229795
C168090291,C94375191,2.672444266102469
C168090291,C178596936,1.3971144323880436
C168090291,C205049153,1.090400455561754
C168090291,C95466800,4.005182874520857
C168090291,C22984246,5.399876533256622
C168090291,C17020691,3.099186917102635
C168090291,C187678412,2.784611266215045
C168090291,C115260700,1.3055134026584594
C168090291,C2776175482,2.819701989339117
C168090291,C158622935,1.0938970349369785
C168090291,C32891209,3.455947497650192
C168090291,C184551789,1.8508003905833041
C168090291,C131017901,2.8444036804073765
C168090291,C49040817,1.9082271967807363
C168090291,C91717678,4.793141511619915
C168090291,C556910895,1.3055134026584594
C168090291,C116696211,0.8986435391815426
C168090291,C154255573,3.4466966896321747
C168090291,C120665830,4.256285466734801
C168090291,C181543814,2.5133288499614155
C168090291,C152026323,3.7782165081587795
C168090291,C2776760102,3.099186917102635
C168090291,C71191651,1.705274382921692
C168090291,C2777288060,2.5573257176033604
C168090291,C28855332,2.229241319232173
C168090291,C32022120,3.0869677503600648
C168090291,C2776261394,1.703414548827961
C168090291,C2776646148,1.5507228622743996
C168090291,C124148022,4.965433037295322
C168090291,C177148314,1.753473225265305
C168090291,C155675718,2.1446810940045964
C168090291,C33980943,0.9025368212798092
C168090291,C194975256,2.52565314021453
C168090291,C192122513,1.8031179362190684
C168090291,C165330911,1.51955594723944
C168090291,C44280652,2.0425573069635155
C168090291,C62641251,2.210151761539424
C168090291,C147323434,2.6306717130108304
C168090291,C15744967,1.3055134026584594
C168090291,C55493867,3.099186917102635
C168090291,C163173736,1.729667570229795
C168090291,C150365167,0.8986435391815426
C168090291,C31402856,2.083883099436348
C168090291,C15190523,2.083883099436348
C168090291,C2776029896,1.3055134026584594
C168090291,C118704821,2.6198085261625343
