source,target,weight,citation_sum_year,citation_sum_year2
quantum_capacity,amplitude_damping_channel,45,107.0,349.0
quantum_network,amplitude_damping_channel,62,114.0,371.0
quantum_channel,amplitude_damping_channel,52,111.0,359.0
quantum_network,bell_state,29,6.0,81.0
quantum_network,cluster_state,35,17.0,97.0
squashed_entanglement,multipartite_entanglement,32,11.0,70.0
quantum_network,multipartite_entanglement,33,11.0,70.0
quantum_imaging,photon_entanglement,30,50.0,155.0
quantum_sensor,photon_entanglement,55,41.0,171.0
quantum_network,photon_entanglement,94,94.0,375.0
quantum_information_science,photon_entanglement,37,62.0,227.0
quantum_information_science,quantum_capacity,43,106.0,330.0
amplitude_damping_channel,quantum_capacity,45,107.0,349.0
quantum_network,quantum_capacity,106,162.0,518.0
quantum_channel,quantum_capacity,80,146.0,462.0
quantum_cryptography,quantum_channel,30,48.0,179.0
quantum_technology,quantum_channel,40,44.0,180.0
teleportation,quantum_channel,60,47.0,189.0
superdense_coding,quantum_channel,48,35.0,158.0
quantum_capacity,quantum_channel,80,146.0,462.0
amplitude_damping_channel,quantum_channel,52,111.0,359.0
quantum_error_correction,quantum_channel,30,36.0,86.0
quantum_teleportation,quantum_channel,94,113.0,491.0
quantum_sensor,quantum_channel,35,55.0,272.0
quantum_network,quantum_channel,241,318.0,1147.0
quantum_information_science,quantum_channel,107,207.0,789.0
quantum_gate,quantum_circuit,30,3.0,28.0
quantum_network,quantum_circuit,52,30.0,100.0
quantum_channel,quantum_cryptography,30,48.0,179.0
quantum_network,quantum_cryptography,79,77.0,314.0
quantum_information_science,quantum_cryptography,43,54.0,170.0
quantum_sensor,quantum_discord,30,42.0,148.0
quantum_network,quantum_discord,79,112.0,368.0
quantum_channel,quantum_error_correction,30,36.0,86.0
quantum_technology,quantum_error_correction,35,93.0,248.0
quantum_gate,quantum_error_correction,28,41.0,139.0
quantum_network,quantum_error_correction,110,165.0,497.0
quantum_circuit,quantum_gate,30,3.0,28.0
quantum_error_correction,quantum_gate,28,41.0,139.0
quantum_network,quantum_gate,51,51.0,199.0
photon_entanglement,quantum_imaging,30,50.0,155.0
quantum_metrology,quantum_imaging,28,36.0,144.0
quantum_technology,quantum_imaging,79,169.0,590.0
quantum_sensor,quantum_imaging,102,162.0,593.0
quantum_network,quantum_imaging,175,240.0,862.0
quantum_information_science,quantum_imaging,52,186.0,614.0
quantum_cryptography,quantum_information_science,43,54.0,170.0
quantum_capacity,quantum_information_science,43,106.0,330.0
quantum_imaging,quantum_information_science,52,186.0,614.0
quantum_technology,quantum_information_science,109,205.0,775.0
quantum_teleportation,quantum_information_science,49,88.0,431.0
quantum_sensor,quantum_information_science,104,220.0,869.0
quantum_network,quantum_information_science,267,456.0,1718.0
quantum_channel,quantum_information_science,107,207.0,789.0
photon_entanglement,quantum_information_science,37,62.0,227.0
quantum_network,quantum_memory,67,32.0,163.0
quantum_imaging,quantum_metrology,28,36.0,144.0
quantum_technology,quantum_metrology,38,49.0,173.0
quantum_sensor,quantum_metrology,81,100.0,359.0
quantum_network,quantum_metrology,151,166.0,560.0
spontaneous_parametric_down-conversion,quantum_network,41,42.0,168.0
bell_state,quantum_network,29,6.0,81.0
quantum_cryptography,quantum_network,79,77.0,314.0
teleportation,quantum_network,60,47.0,189.0
superdense_coding,quantum_network,51,36.0,170.0
quantum_memory,quantum_network,67,32.0,163.0
w_state,quantum_network,53,35.0,243.0
cluster_state,quantum_network,35,17.0,97.0
quantum_capacity,quantum_network,106,162.0,518.0
amplitude_damping_channel,quantum_network,62,114.0,371.0
quantum_metrology,quantum_network,151,166.0,560.0
quantum_imaging,quantum_network,175,240.0,862.0
quantum_circuit,quantum_network,52,30.0,100.0
quantum_technology,quantum_network,252,415.0,1454.0
quantum_gate,quantum_network,51,51.0,199.0
quantum_error_correction,quantum_network,110,165.0,497.0
quantum_discord,quantum_network,79,112.0,368.0
squashed_entanglement,quantum_network,39,22.0,127.0
quantum_teleportation,quantum_network,156,142.0,660.0
multipartite_entanglement,quantum_network,33,11.0,70.0
quantum_sensor,quantum_network,362,444.0,1785.0
quantum_information_science,quantum_network,267,456.0,1718.0
quantum_channel,quantum_network,241,318.0,1147.0
photon_entanglement,quantum_network,94,94.0,375.0
quantum_metrology,quantum_sensor,81,100.0,359.0
quantum_imaging,quantum_sensor,102,162.0,593.0
