Concept1_ID,Concept1_Name,Concept2_ID,Concept2_Name,AdamicAdarScore
C124148022,Quantum circuit,C105295557,Categorical quantum mechanics,0.4691646856218366
C124148022,Quantum circuit,C58140894,OR gate,0.6345152644389862
C124148022,Quantum circuit,C198053700,Scalar field theory,0.30341307554227914
C124148022,Quantum circuit,C193690875,Optical modulator,0.22062394912909372
C124148022,Quantum circuit,C3227080,Carry-save adder,0.2239186238120062
C124148022,Quantum circuit,C91394653,Conjugate residual method,0
C124148022,Quantum circuit,C179153249,Consistent histories,0.4691646856218366
C124148022,Quantum circuit,C60064506,Rigged Hilbert space,0.4691646856218366
C124148022,Quantum circuit,C124968333,Schnorr signature,0
C124148022,Quantum circuit,C172218469,Direct-coupled amplifier,0.2239186238120062
C124148022,Quantum circuit,C207046469,Interpretations of quantum mechanics,0.4691646856218366
C124148022,Quantum circuit,C112932734,"Hamming(7,4)",0.2239186238120062
C124148022,Quantum circuit,C183968085,Trapped ion quantum computer,1.0364946566611717
C124148022,Quantum circuit,C31593994,Gauge fixing,0
C124148022,Quantum circuit,C100980136,Malleability,0
C124148022,Quantum circuit,C11255438,Quantum process,2.3233614558047453
C124148022,Quantum circuit,C107923615,Kinetic inductance,0.2442393366759723
C124148022,Quantum circuit,C2985428132,Quantum memory,0.22062394912909372
C124148022,Quantum circuit,C202424057,Digital Signature Algorithm,0
C124148022,Quantum circuit,C2779094486,Quantum machine learning,0
C124148022,Quantum circuit,C177414767,Supersymmetric quantum mechanics,0.9816223176116355
C124148022,Quantum circuit,C131021393,Signal transfer function,0
C124148022,Quantum circuit,C19271316,One-way quantum computer,0.9773209177948649
C124148022,Quantum circuit,C101973423,Von Neumann entropy,0.6897886347509303
C124148022,Quantum circuit,C23409769,Relationship between string theory and quantum field theory,0.4691646856218366
C124148022,Quantum circuit,C113843644,Interface (matter),0.3898712452512801
C124148022,Quantum circuit,C204517386,Relative intensity noise,0.2239186238120062
C124148022,Quantum circuit,C207648694,Denotational semantics,0.2239186238120062
C124148022,Quantum circuit,C15547884,DTIME,0
C124148022,Quantum circuit,C190047474,Wave function collapse,0.9994036898004833
C124148022,Quantum circuit,C21176728,Turing machine examples,0.4445425729410999
C124148022,Quantum circuit,C145366948,Operational amplifier,0.2239186238120062
C124148022,Quantum circuit,C144271403,Probabilistic Turing machine,0.747955648483379
C124148022,Quantum circuit,C53105130,Fluxon,0.2239186238120062
C124148022,Quantum circuit,C119382340,Superconducting quantum computing,0.9773209177948649
C124148022,Quantum circuit,C15927051,Cryptographic primitive,0.22062394912909372
C124148022,Quantum circuit,C120484201,Quantum field theory in curved spacetime,0.5302390041786467
C124148022,Quantum circuit,C177409962,Shannon's source coding theorem,0
C124148022,Quantum circuit,C176248197,Probably approximately correct learning,0
C124148022,Quantum circuit,C101615488,Geometric Brownian motion,0.2239186238120062
C124148022,Quantum circuit,C36367407,Goldwasser–Micali cryptosystem,0
C124148022,Quantum circuit,C200581526,Homoclinic orbit,0
C124148022,Quantum circuit,C158971709,Magnonics,0.7508629533077404
C124148022,Quantum circuit,C139356082,Quantum discord,1.9663247758700317
C124148022,Quantum circuit,C32270708,Squashed entanglement,0
C124148022,Quantum circuit,C2777796570,Dynamic logic (digital electronics),0.2239186238120062
C124148022,Quantum circuit,C116225407,Rydberg atom,0.7430024622575422
C124148022,Quantum circuit,C2778361524,Heisenberg limit,0.22062394912909372
C124148022,Quantum circuit,C150724011,Quantum point contact,1.5667336608398181
C124148022,Quantum circuit,C122806257,PH,0
C124148022,Quantum circuit,C207060392,Second quantization,0
C124148022,Quantum circuit,C206321295,Łukasiewicz logic,0.2239186238120062
C124148022,Quantum circuit,C110039528,Zeroth-order logic,0.2239186238120062
C124148022,Quantum circuit,C39197057,Magnetic flux quantum,0.5273316993542854
C124148022,Quantum circuit,C116206932,Serial binary adder,0.2239186238120062
C124148022,Quantum circuit,C80891386,Quantum phases,0
C124148022,Quantum circuit,C40404285,Merkle signature scheme,0
C124148022,Quantum circuit,C3845977,Autoepistemic logic,0.4691646856218366
C124148022,Quantum circuit,C62641251,Quantum sort,0.46815796048797853
C124148022,Quantum circuit,C125252325,Entropy rate,0
C124148022,Quantum circuit,C22994065,Quantum chemistry,0
C124148022,Quantum circuit,C205309187,Coherent anti-Stokes Raman spectroscopy,0.2239186238120062
C124148022,Quantum circuit,C2777061846,Postselection,0
C124148022,Quantum circuit,C112806910,Noise figure,0.2239186238120062
C124148022,Quantum circuit,C2776887110,Quantum cloning,0.2239186238120062
C124148022,Quantum circuit,C2777057244,Quantum master equation,0.2239186238120062
C124148022,Quantum circuit,C18899389,Blind signature,0
C124148022,Quantum circuit,C170260401,Defuzzification,0.2239186238120062
C124148022,Quantum circuit,C60543599,Josephson energy,0.2239186238120062
C124148022,Quantum circuit,C113873419,Flicker noise,0.2239186238120062
C124148022,Quantum circuit,C68227491,No-go theorem,0.2239186238120062
C124148022,Quantum circuit,C1465435,Longest path problem,0
