unique_id,id,title,publication_date
n1,http://example.org/paper#W1986933492,Hybrid quantum circuits: Superconducting circuits interacting with other quantum systems,2013-04-09
n2,http://example.org/paper#W2041251400,Single-photon detectors for optical quantum information applications,2009-11-30
n3,http://example.org/paper#W1963736202,Optical quantum memory,2009-11-30
n4,http://example.org/paper#W32507011,Quantum Computation and Quantum Information: 10th Anniversary Edition,2011-01-31
n5,http://example.org/paper#W2058698962,An open-system quantum simulator with trapped ions,2011-02-01
n6,http://example.org/paper#W2101088258,Quantum computational networks,1989-09-08
n7,http://example.org/paper#W1980583020,Nanoscale magnetic sensing with an individual electronic spin in diamond,2008-10-01
n8,http://example.org/paper#W2103368228,Measurement-based quantum computation on cluster states,2003-08-25
n9,http://example.org/paper#W2074117827,Architecture for a large-scale ion-trap quantum computer,2002-06-01
n10,http://example.org/paper#W2090475034,Optical imaging by means of two-photon quantum entanglement,1995-11-01
n11,http://example.org/paper#W2148132004,"Quantum theory, the Church–Turing principle and the universal quantum computer",1985-07-08
n12,http://example.org/paper#W2897264299,Quantum internet: A vision for the road ahead,2018-10-18
n13,http://example.org/paper#W1969546033,Deterministic quantum teleportation of atomic qubits,2004-06-01
n14,http://example.org/paper#W2054388650,Conditional Quantum Dynamics and Logic Gates,1995-05-15
n15,http://example.org/paper#W1563040068,Optics and interferometry with atoms and molecules,2009-07-28
n16,http://example.org/paper#W1981983416,Advances in quantum metrology,2011-03-31
n17,http://example.org/paper#W2028212109,Perfect State Transfer in Quantum Spin Networks,2004-05-04
n18,http://example.org/paper#W2154564336,The capacity of the quantum channel with general signal states,1998-01-01
n19,http://example.org/paper#W1967673033,Photonic quantum technologies,2009-11-30
n20,http://example.org/paper#W1530682388,Quantum Measurement and Control,2009-11-12
n21,http://example.org/paper#W1979029367,Quantum nature of a strongly coupled single quantum dot–cavity system,2007-01-28
n22,http://example.org/paper#W2038645424,Quantum discord for two-qubit systems,2008-04-03
n23,http://example.org/paper#W1983655155,Quantum Communication through an Unmodulated Spin Chain,2003-11-10
n24,http://example.org/paper#W4231127907,Quantum coding,1995-04-01
n25,http://example.org/paper#W1490521149,Demonstrating the viability of universal quantum computation using teleportation and single-qubit operations,1999-11-01
n26,http://example.org/paper#W2063519529,Entanglement-based quantum communication over 144 km,2007-06-03
n27,http://example.org/paper#W1607705556,Experimental entanglement of four particles,2000-03-01
n28,http://example.org/paper#W1984021697,Quantum error correction for quantum memories,2015-04-07
n29,http://example.org/paper#W1988134541,Secure quantum key distribution,2014-07-31
n30,http://example.org/paper#W2142739935,Quantum information with continuous variables,2005-06-29
n31,http://example.org/paper#W2042474962,Error Correcting Codes in Quantum Theory,1996-07-29
n32,http://example.org/paper#W3103096722,Integrated photonic quantum technologies,2019-10-21
n33,http://example.org/paper#W1993248778,Two-bit gates are universal for quantum computation,1995-02-01
n34,http://example.org/paper#W2219888606,Near-optimal single-photon sources in the solid state,2016-03-07
n35,http://example.org/paper#W2990961515,Quantum Computation and Quantum Information,2012-06-05
n36,http://example.org/paper#W1970006170,Unconditional Security of Quantum Key Distribution over Arbitrarily Long Distances,1999-03-26
n37,http://example.org/paper#W1988633556,Efficient Scheme for Two-Atom Entanglement and Quantum Information Processing in Cavity QED,2000-09-11
n38,http://example.org/paper#W2158605123,The Physical Implementation of Quantum Computation,2000-09-01
n39,http://example.org/paper#W2054265686,Quantum Register Based on Individual Electronic and Nuclear Spin Qubits in Diamond,2007-05-31
n40,http://example.org/paper#W2147574419,Coupling superconducting qubits via a cavity bus,2007-09-01
n41,http://example.org/paper#W1968850365,Superconducting quantum circuits at the surface code threshold for fault tolerance,2014-04-01
n42,http://example.org/paper#W2144965412,Continuous-variable optical quantum-state tomography,2009-03-16
n43,http://example.org/paper#W3103869002,The nitrogen-vacancy colour centre in diamond,2013-03-04
n44,http://example.org/paper#W2074333174,Necessary and Sufficient Condition for Nonzero Quantum Discord,2010-11-02
n45,http://example.org/paper#W2102008187,Elementary gates for quantum computation,1995-11-01
n46,http://example.org/paper#W3099200606,Quantum Chemistry in the Age of Quantum Computing,2019-08-30
n47,http://example.org/paper#W2145486367,Silica-on-Silicon Waveguide Quantum Circuits,2008-03-27
n48,http://example.org/paper#W2015275764,Multiphoton entanglement and interferometry,2012-05-11
n49,http://example.org/paper#W2001619599,Sending classical information via noisy quantum channels,1997-07-01
n50,http://example.org/paper#W1977148550,Quantum key distribution using gaussian-modulated coherent states,2003-01-01
n51,http://example.org/paper#W1999664967,Quantum-Enhanced Measurements: Beating the Standard Quantum Limit,2004-11-18
n52,http://example.org/paper#W2131245179,High-sensitivity diamond magnetometer with nanoscale resolution,2008-09-14
