paper_id,title,publication_date,journal,authors,citation_count,concepts
W3037737784,Quantum entanglement,2009-06-17,N/A,"Ryszard Horodecki, Paweł Horodecki, Michał Horodecki, Karol Horodecki",8757,https://openalex.org/C121040770|Quantum entanglement|0.8732692;https://openalex.org/C139356082|Quantum discord|0.6731713;https://openalex.org/C121332964|Physics|0.65955424;https://openalex.org/C91717678|Quantum teleportation|0.635052;https://openalex.org/C144901912|Quantum cryptography|0.5875348;https://openalex.org/C32270708|Squashed entanglement|0.56169593;https://openalex.org/C62520636|Quantum mechanics|0.53939956;https://openalex.org/C71799126|Multipartite entanglement|0.5047554;https://openalex.org/C33332235|Theoretical physics|0.501966;https://openalex.org/C84114770|Quantum|0.45944655;https://openalex.org/C41241483|Quantum capacity|0.4333568;https://openalex.org/C206003972|Entanglement witness|0.41346928;https://openalex.org/C5320026|Quantum information science|0.4126506;https://openalex.org/C186468114|Quantum network|0.36059174;https://openalex.org/C169699857|Quantum information|0.32159108
W2990961515,Quantum Computation and Quantum Information,2012-06-05,N/A,"Michael A. Nielsen, Isaac L. Chuang",6882,https://openalex.org/C58053490|Quantum computer|0.76294243;https://openalex.org/C169699857|Quantum information|0.63100094;https://openalex.org/C144901912|Quantum cryptography|0.5656371;https://openalex.org/C5320026|Quantum information science|0.54020053;https://openalex.org/C41008148|Computer science|0.5302852;https://openalex.org/C186468114|Quantum network|0.47949296;https://openalex.org/C190463098|Quantum technology|0.472113;https://openalex.org/C137019171|Quantum algorithm|0.46425372;https://openalex.org/C190474826|Open quantum system|0.43919834;https://openalex.org/C51003876|Quantum error correction|0.4297895;https://openalex.org/C80444323|Theoretical computer science|0.41292912;https://openalex.org/C84114770|Quantum|0.39246666;https://openalex.org/C62520636|Quantum mechanics|0.3641891;https://openalex.org/C33332235|Theoretical physics|0.34202513;https://openalex.org/C121332964|Physics|0.30804956;https://openalex.org/C121040770|Quantum entanglement|0.15206566
W2132764286,The quantum internet,2008-06-01,N/A,H. J. Kimble,5059,https://openalex.org/C186468114|Quantum network|0.8006562;https://openalex.org/C190463098|Quantum technology|0.6092924;https://openalex.org/C121040770|Quantum entanglement|0.608463;https://openalex.org/C91717678|Quantum teleportation|0.6013361;https://openalex.org/C95013731|Quantum metrology|0.5957202;https://openalex.org/C187486625|Quantum channel|0.56540066;https://openalex.org/C89143813|Quantum sensor|0.4882903;https://openalex.org/C5320026|Quantum information science|0.48001283;https://openalex.org/C121332964|Physics|0.46145046;https://openalex.org/C41008148|Computer science|0.4457211;https://openalex.org/C169699857|Quantum information|0.42876634;https://openalex.org/C84114770|Quantum|0.42498544;https://openalex.org/C58053490|Quantum computer|0.4214023;https://openalex.org/C62520636|Quantum mechanics|0.35671055;https://openalex.org/C190474826|Open quantum system|0.32109672
W1623920228,Experimental quantum teleportation,1997-12-01,N/A,"Dik Bouwmeester, Jian-Wei Pan, Klaus Mattle, Manfred Eibl, Harald Weinfurter, Anton Zeilinger",5021,https://openalex.org/C91717678|Quantum teleportation|0.84414124;https://openalex.org/C121332964|Physics|0.7203085;https://openalex.org/C154255573|Teleportation|0.6746745;https://openalex.org/C187678412|Superdense coding|0.61485887;https://openalex.org/C159317903|Photon|0.56038165;https://openalex.org/C62520636|Quantum mechanics|0.53875643;https://openalex.org/C186468114|Quantum network|0.51140183;https://openalex.org/C187486625|Quantum channel|0.49151692;https://openalex.org/C84114770|Quantum|0.34622157;https://openalex.org/C58053490|Quantum computer|0.31769308;https://openalex.org/C169699857|Quantum information|0.29455078
W2060887031,Mixed-state entanglement and quantum error correction,1996-11-01,N/A,"Charles H. Bennett, David P. DiVincenzo, John A. Smolin, William K. Wootters",5015,https://openalex.org/C121040770|Quantum entanglement|0.6992847;https://openalex.org/C5320026|Quantum information science|0.53530574;https://openalex.org/C187486625|Quantum channel|0.5334423;https://openalex.org/C41241483|Quantum capacity|0.5332657;https://openalex.org/C206040425|Amplitude damping channel|0.5034551;https://openalex.org/C84114770|Quantum|0.4588592;https://openalex.org/C48103436|State (computer science)|0.44683933;https://openalex.org/C121332964|Physics|0.44345355;https://openalex.org/C62520636|Quantum mechanics|0.4353027;https://openalex.org/C91717678|Quantum teleportation|0.42259794;https://openalex.org/C33923547|Mathematics|0.41782838;https://openalex.org/C118615104|Discrete mathematics|0.3955295;https://openalex.org/C41008148|Computer science|0.33320314;https://openalex.org/C186468114|Quantum network|0.26574218;https://openalex.org/C11413529|Algorithm|0.22759905
W2148132004,"Quantum theory, the Church–Turing principle and the universal quantum computer",1985-07-08,N/A,David Deutsch,4376,https://openalex.org/C192061203|Quantum Turing machine|0.87998784;https://openalex.org/C29248071|Turing machine|0.7500838;https://openalex.org/C131671149|Universal Turing machine|0.67910177;https://openalex.org/C58053490|Quantum computer|0.6723376;https://openalex.org/C31402856|Super-recursive algorithm|0.6039822;https://openalex.org/C41008148|Computer science|0.5516921;https://openalex.org/C137019171|Quantum algorithm|0.54281855;https://openalex.org/C144271403|Probabilistic Turing machine|0.47274268;https://openalex.org/C15190523|Non-deterministic Turing machine|0.4518003;https://openalex.org/C179061269|Description number|0.44079882;https://openalex.org/C80444323|Theoretical computer science|0.43445686;https://openalex.org/C11255438|Quantum process|0.42387182;https://openalex.org/C190474826|Open quantum system|0.42195883;https://openalex.org/C84114770|Quantum|0.3915243;https://openalex.org/C186468114|Quantum network|0.3332203;https://openalex.org/C62520636|Quantum mechanics|0.22642699;https://openalex.org/C45374587|Computation|0.21620995;https://openalex.org/C11413529|Algorithm|0.20884281;https://openalex.org/C15184713|Quantum dynamics|0.18848786;https://openalex.org/C121332964|Physics|0.18440175
W2035993353,A One-Way Quantum Computer,2001-05-28,N/A,"Robert Raussendorf, Hans J. Briegel",4168,https://openalex.org/C158456648|Cluster state|0.87146014;https://openalex.org/C58053490|Quantum computer|0.7177646;https://openalex.org/C19271316|One-way quantum computer|0.691666;https://openalex.org/C121040770|Quantum entanglement|0.6559402;https://openalex.org/C121332964|Physics|0.5486305;https://openalex.org/C169699857|Quantum information|0.5152512;https://openalex.org/C186468114|Quantum network|0.49836445;https://openalex.org/C169460222|Quantum logic|0.4913942;https://openalex.org/C190463098|Quantum technology|0.48373726;https://openalex.org/C62520636|Quantum mechanics|0.4761793;https://openalex.org/C51003876|Quantum error correction|0.4714654;https://openalex.org/C203087015|Qubit|0.46859398;https://openalex.org/C20593774|W state|0.45263895;https://openalex.org/C124148022|Quantum circuit|0.42635775;https://openalex.org/C48103436|State (computer science)|0.42352322;https://openalex.org/C91717678|Quantum teleportation|0.41364947;https://openalex.org/C84114770|Quantum|0.38495326;https://openalex.org/C190474826|Open quantum system|0.36456853;https://openalex.org/C41008148|Computer science|0.34924638;https://openalex.org/C11413529|Algorithm|0.14366034
W1999706070,Scheme for reducing decoherence in quantum computer memory,1995-10-01,N/A,Peter W. Shor,4050,https://openalex.org/C122527463|Quantum decoherence|0.8722589;https://openalex.org/C121332964|Physics|0.80782187;https://openalex.org/C58053490|Quantum computer|0.7575486;https://openalex.org/C51003876|Quantum error correction|0.6733681;https://openalex.org/C169699857|Quantum information|0.59415466;https://openalex.org/C62520636|Quantum mechanics|0.5600863;https://openalex.org/C194975256|Quantum dissipation|0.54899985;https://openalex.org/C190474826|Open quantum system|0.5327563;https://openalex.org/C186468114|Quantum network|0.5106786;https://openalex.org/C55615164|Quantum superposition|0.49906468;https://openalex.org/C43682372|Quantum operation|0.4655125;https://openalex.org/C27753989|Superposition principle|0.44953305;https://openalex.org/C45374587|Computation|0.4464073;https://openalex.org/C11255438|Quantum process|0.41723114;https://openalex.org/C84114770|Quantum|0.3802952;https://openalex.org/C41008148|Computer science|0.18859309;https://openalex.org/C11413529|Algorithm|0.16516873;https://openalex.org/C15184713|Quantum dynamics|0.15330505
W2102008187,Elementary gates for quantum computation,1995-11-01,N/A,"Adriano Barenco, Charles H. Bennett, Richard Cleve, David P. DiVincenzo, Norman Margolus, Peter W. Shor, Tycho Sleator, John A. Smolin, Harald Weinfurter",4017,https://openalex.org/C142465778|Toffoli gate|0.952331;https://openalex.org/C58849907|Quantum gate|0.7025161;https://openalex.org/C94375191|Arithmetic|0.5501785;https://openalex.org/C58053490|Quantum computer|0.48840278;https://openalex.org/C33923547|Mathematics|0.48227268;https://openalex.org/C102565666|Universal set|0.47881037;https://openalex.org/C124148022|Quantum circuit|0.47347227;https://openalex.org/C118615104|Discrete mathematics|0.40729174;https://openalex.org/C41008148|Computer science|0.40675268;https://openalex.org/C177264268|Set (abstract data type)|0.38809046;https://openalex.org/C184720557|Topology (electrical circuits)|0.3614834;https://openalex.org/C84114770|Quantum|0.32605684;https://openalex.org/C186468114|Quantum network|0.2590865;https://openalex.org/C62520636|Quantum mechanics|0.22072229;https://openalex.org/C114614502|Combinatorics|0.19660634;https://openalex.org/C121332964|Physics|0.14226311;https://openalex.org/C199360897|Programming language|0.0
W2142739935,Quantum information with continuous variables,2005-06-29,N/A,"Samuel L. Braunstein, Peter van Loock",3450,https://openalex.org/C121332964|Physics|0.8687621;https://openalex.org/C5320026|Quantum information science|0.6702787;https://openalex.org/C169699857|Quantum information|0.6244588;https://openalex.org/C121040770|Quantum entanglement|0.6193015;https://openalex.org/C84114770|Quantum|0.5080962;https://openalex.org/C22984246|Quantum imaging|0.49123353;https://openalex.org/C41241483|Quantum capacity|0.47132117;https://openalex.org/C58053490|Quantum computer|0.455043;https://openalex.org/C190463098|Quantum technology|0.45383266;https://openalex.org/C186468114|Quantum network|0.42700934;https://openalex.org/C190474826|Open quantum system|0.419174;https://openalex.org/C33332235|Theoretical physics|0.41747767;https://openalex.org/C62520636|Quantum mechanics|0.411624;https://openalex.org/C139356082|Quantum discord|0.41026127;https://openalex.org/C121864883|Statistical physics|0.3776077
