Concept1,Concept2,JaccardScore
C91717678,C121332964,0.25462962962962965
C91717678,C154255573,0.543859649122807
C91717678,C187678412,0.3508771929824561
C91717678,C159317903,0.2702702702702703
C91717678,C62520636,0.25462962962962965
C91717678,C186468114,0.25462962962962965
C91717678,C187486625,0.4205607476635514
C91717678,C84114770,0.25462962962962965
C91717678,C58053490,0.31746031746031744
C91717678,C169699857,0.30625
C91717678,C121040770,0.3819444444444444
C91717678,C5320026,0.3723404255319149
C91717678,C41241483,0.25862068965517243
C91717678,C206040425,0.25
C91717678,C48103436,0.390625
C91717678,C33923547,0.30434782608695654
C91717678,C118615104,0.25274725274725274
C91717678,C41008148,0.2677595628415301
C91717678,C11413529,0.26666666666666666
C91717678,C158456648,0.3157894736842105
C91717678,C19271316,0.47368421052631576
C91717678,C169460222,0.35714285714285715
C91717678,C190463098,0.4864864864864865
C91717678,C51003876,0.29310344827586204
C91717678,C203087015,0.44594594594594594
C91717678,C20593774,0.7230769230769231
C91717678,C124148022,0.3333333333333333
C91717678,C190474826,0.4536082474226804
C91717678,C122527463,0.36
C91717678,C74939445,0.40625
C91717678,C89143813,0.275
C91717678,C139356082,0.4
C91717678,C136197465,0.3333333333333333
C91717678,C118704821,0.42105263157894735
C91717678,C184720557,0.3711340206185567
C91717678,C114614502,0.3711340206185567
C91717678,C154945302,0.29896907216494845
C91717678,C2781089630,0.47368421052631576
C91717678,C181500209,0.3508771929824561
C91717678,C77618280,0.3870967741935484
C91717678,C2987822364,0.38095238095238093
C91717678,C58312451,0.3508771929824561
C91717678,C134306372,0.35294117647058826
C91717678,C105795698,0.42696629213483145
C91717678,C149635348,0.3508771929824561
C91717678,C80444323,0.3163265306122449
C91717678,C71799126,0.21052631578947367
C91717678,C206003972,0.21052631578947367
C91717678,C2778870898,0.21052631578947367
C91717678,C32270708,0.21052631578947367
C91717678,C26873012,0.21052631578947367
C91717678,C182953411,0.3384615384615385
C91717678,C144901912,0.44285714285714284
C91717678,C155675718,0.3157894736842105
C91717678,C203103908,0.2676056338028169
C91717678,C104434177,0.2619047619047619
C121332964,C154255573,0.14351851851851852
C121332964,C187678412,0.09259259259259259
C121332964,C159317903,0.3888888888888889
C121332964,C62520636,0.9907407407407407
C121332964,C186468114,0.9907407407407407
C121332964,C187486625,0.4398148148148148
C121332964,C84114770,0.9907407407407407
C121332964,C58053490,0.5046296296296297
C121332964,C169699857,0.7037037037037037
C121332964,C121040770,0.6574074074074074
C121332964,C5320026,0.3333333333333333
C121332964,C41241483,0.41203703703703703
C121332964,C206040425,0.2222222222222222
C121332964,C48103436,0.14814814814814814
C121332964,C33923547,0.7083333333333334
C121332964,C118615104,0.2638888888888889
C121332964,C41008148,0.8101851851851852
C121332964,C11413529,0.5277777777777778
C121332964,C192061203,0.08333333333333333
C121332964,C29248071,0.08333333333333333
C121332964,C131671149,0.08333333333333333
C121332964,C31402856,0.08333333333333333
C121332964,C137019171,0.2638888888888889
C121332964,C144271403,0.08333333333333333
C121332964,C15190523,0.08333333333333333
C121332964,C179061269,0.08333333333333333
C121332964,C80444323,0.3333333333333333
C121332964,C11255438,0.19907407407407407
C121332964,C190474826,0.3888888888888889
C121332964,C45374587,0.14814814814814814
C121332964,C15184713,0.20833333333333334
C121332964,C158456648,0.08333333333333333
C121332964,C19271316,0.125
C121332964,C169460222,0.17592592592592593
C121332964,C190463098,0.24537037037037038
C121332964,C51003876,0.4305555555555556
C121332964,C203087015,0.23148148148148148
C121332964,C20593774,0.25462962962962965
C121332964,C124148022,0.2361111111111111
C121332964,C122527463,0.20833333333333334
C121332964,C194975256,0.07407407407407407
C121332964,C55615164,0.07407407407407407
C121332964,C43682372,0.13425925925925927
C121332964,C27753989,0.1111111111111111
C121332964,C142465778,0.09259259259259259
C121332964,C58849907,0.19444444444444445
C121332964,C94375191,0.09259259259259259
C121332964,C102565666,0.1111111111111111
C121332964,C177264268,0.18518518518518517
C121332964,C184720557,0.35185185185185186
C121332964,C114614502,0.35185185185185186
C121332964,C199360897,0.3333333333333333
C121332964,C2779960059,0.1527777777777778
C121332964,C39927690,0.125
C121332964,C2780310539,0.1527777777777778
C121332964,C2776459999,0.125
C121332964,C195545963,0.125
C121332964,C127162648,0.3101851851851852
C121332964,C157486923,0.125
C121332964,C76155785,0.2962962962962963
C121332964,C125411270,0.125
C121332964,C41895202,0.18055555555555555
C121332964,C138885662,0.24537037037037038
C121332964,C134306372,0.375
C121332964,C154945302,0.3194444444444444
C121332964,C111919701,0.21296296296296297
C121332964,C74939445,0.1527777777777778
C121332964,C89143813,0.20833333333333334
C121332964,C139356082,0.25462962962962965
C121332964,C32022120,0.09722222222222222
C121332964,C33332235,0.06481481481481481
C121332964,C121864883,0.19444444444444445
C121332964,C62611344,0.06944444444444445
C121332964,C761482,0.06944444444444445
C121332964,C15706264,0.1574074074074074
C121332964,C22984246,0.18981481481481483
C121332964,C68717125,0.25925925925925924
C121332964,C120665830,0.18518518518518517
C121332964,C94915269,0.1111111111111111
C121332964,C2779832538,0.1111111111111111
C121332964,C203103908,0.1527777777777778
