Concept1,Concept2,JaccardScore
C91717678,C121332964,0.2301255230125523
C91717678,C154255573,0.543859649122807
C91717678,C187678412,0.3508771929824561
C91717678,C159317903,0.2711864406779661
C91717678,C62520636,0.2301255230125523
C91717678,C186468114,0.2301255230125523
C91717678,C187486625,0.42990654205607476
C91717678,C84114770,0.2301255230125523
C91717678,C58053490,0.31007751937984496
C91717678,C169699857,0.27071823204419887
C91717678,C121040770,0.3618421052631579
C91717678,C5320026,0.3333333333333333
C91717678,C41241483,0.28448275862068967
C91717678,C206040425,0.25
C91717678,C48103436,0.390625
C91717678,C33923547,0.30246913580246915
C91717678,C118615104,0.25274725274725274
C91717678,C41008148,0.2413793103448276
C91717678,C11413529,0.2517482517482518
C91717678,C158456648,0.3157894736842105
C91717678,C19271316,0.47368421052631576
C91717678,C169460222,0.35714285714285715
C91717678,C190463098,0.4805194805194805
C91717678,C51003876,0.3103448275862069
C91717678,C203087015,0.44
C91717678,C20593774,0.7230769230769231
C91717678,C124148022,0.3333333333333333
C91717678,C190474826,0.44
C91717678,C122527463,0.36
C91717678,C74939445,0.40625
C91717678,C89143813,0.25773195876288657
C91717678,C139356082,0.4
C91717678,C136197465,0.3333333333333333
C91717678,C118704821,0.42105263157894735
C91717678,C184720557,0.36363636363636365
C91717678,C114614502,0.36363636363636365
C91717678,C154945302,0.25892857142857145
C91717678,C2781089630,0.47368421052631576
C91717678,C181500209,0.3508771929824561
C91717678,C77618280,0.3870967741935484
C91717678,C2987822364,0.38095238095238093
C91717678,C58312451,0.3508771929824561
C91717678,C134306372,0.35294117647058826
C91717678,C105795698,0.42696629213483145
C91717678,C149635348,0.3508771929824561
C91717678,C80444323,0.3163265306122449
C91717678,C71799126,0.21052631578947367
C91717678,C206003972,0.21052631578947367
C91717678,C2778870898,0.21052631578947367
C91717678,C32270708,0.21052631578947367
C91717678,C26873012,0.21052631578947367
C91717678,C182953411,0.3333333333333333
C91717678,C144901912,0.44285714285714284
C91717678,C155675718,0.3157894736842105
C91717678,C203103908,0.2676056338028169
C91717678,C104434177,0.2619047619047619
C121332964,C154255573,0.1297071129707113
C121332964,C187678412,0.08368200836820083
C121332964,C159317903,0.3891213389121339
C121332964,C62520636,0.9916317991631799
C121332964,C186468114,0.9916317991631799
C121332964,C187486625,0.401673640167364
C121332964,C84114770,0.9916317991631799
C121332964,C58053490,0.4686192468619247
C121332964,C169699857,0.7238493723849372
C121332964,C121040770,0.6276150627615062
C121332964,C5320026,0.3472803347280335
C121332964,C41241483,0.38493723849372385
C121332964,C206040425,0.200836820083682
C121332964,C48103436,0.13389121338912133
C121332964,C33923547,0.6443514644351465
C121332964,C118615104,0.2384937238493724
C121332964,C41008148,0.8158995815899581
C121332964,C11413529,0.5104602510460251
C121332964,C192061203,0.07531380753138076
C121332964,C29248071,0.07531380753138076
C121332964,C131671149,0.07531380753138076
C121332964,C31402856,0.07531380753138076
C121332964,C137019171,0.24686192468619247
C121332964,C144271403,0.07531380753138076
C121332964,C15190523,0.07531380753138076
C121332964,C179061269,0.07531380753138076
C121332964,C80444323,0.301255230125523
C121332964,C11255438,0.1799163179916318
C121332964,C190474826,0.36401673640167365
C121332964,C45374587,0.13389121338912133
C121332964,C15184713,0.18828451882845187
C121332964,C158456648,0.07531380753138076
C121332964,C19271316,0.11297071129707113
C121332964,C169460222,0.1589958158995816
C121332964,C190463098,0.2384937238493724
C121332964,C51003876,0.39748953974895396
C121332964,C203087015,0.21338912133891214
C121332964,C20593774,0.2301255230125523
C121332964,C124148022,0.21338912133891214
C121332964,C122527463,0.18828451882845187
C121332964,C194975256,0.06694560669456066
C121332964,C55615164,0.06694560669456066
C121332964,C43682372,0.12133891213389121
C121332964,C27753989,0.100418410041841
C121332964,C142465778,0.100418410041841
C121332964,C58849907,0.17573221757322174
C121332964,C94375191,0.08368200836820083
C121332964,C102565666,0.100418410041841
C121332964,C177264268,0.16736401673640167
C121332964,C184720557,0.3263598326359833
C121332964,C114614502,0.3263598326359833
C121332964,C199360897,0.301255230125523
C121332964,C2779960059,0.13807531380753138
C121332964,C39927690,0.11297071129707113
C121332964,C2780310539,0.13807531380753138
C121332964,C2776459999,0.11297071129707113
C121332964,C195545963,0.11297071129707113
C121332964,C127162648,0.2803347280334728
C121332964,C157486923,0.11297071129707113
C121332964,C76155785,0.3054393305439331
C121332964,C125411270,0.11297071129707113
C121332964,C41895202,0.16317991631799164
C121332964,C138885662,0.2217573221757322
C121332964,C134306372,0.3389121338912134
C121332964,C154945302,0.3514644351464435
C121332964,C111919701,0.19246861924686193
C121332964,C74939445,0.13807531380753138
C121332964,C89143813,0.2719665271966527
C121332964,C139356082,0.2301255230125523
C121332964,C145148216,0.04184100418410042
C121332964,C91275184,0.04184100418410042
C121332964,C520434653,0.08368200836820083
C121332964,C68717125,0.2594142259414226
C121332964,C18762648,0.04184100418410042
C121332964,C183968085,0.15481171548117154
C121332964,C184779094,0.08368200836820083
C121332964,C32022120,0.08786610878661087
C121332964,C33332235,0.09623430962343096
C121332964,C121864883,0.19246861924686193
C121332964,C62611344,0.06276150627615062
C121332964,C761482,0.1087866108786611
C121332964,C15706264,0.14225941422594143
C121332964,C22984246,0.1799163179916318
C121332964,C120665830,0.21338912133891214
C121332964,C94915269,0.100418410041841
C121332964,C2779832538,0.100418410041841
C121332964,C203103908,0.13807531380753138
C121332964,C78336883,0.08368200836820083
C121332964,C15336307,0.08368200836820083
C121332964,C2779843651,0.13807531380753138
C121332964,C168834538,0.08368200836820083
C121332964,C71924100,0.100418410041841
C121332964,C204787440,0.100418410041841
C121332964,C142724271,0.100418410041841
C121332964,C24890656,0.08368200836820083
C121332964,C95466800,0.14225941422594143
C121332964,C77618280,0.12133891213389121
C121332964,C26517878,0.12133891213389121
C121332964,C144901912,0.18410041841004185
C121332964,C38652104,0.12133891213389121
C121332964,C31258907,0.1297071129707113
C121332964,C136197465,0.0794979079497908
C121332964,C118704821,0.100418410041841
C121332964,C2781181686,0.13389121338912133
C121332964,C44838205,0.058577405857740586
C121332964,C143724316,0.058577405857740586
C121332964,C49040817,0.1087866108786611
C121332964,C86803240,0.058577405857740586
C121332964,C151730666,0.058577405857740586
C121332964,C182953411,0.1297071129707113
C121332964,C2777288060,0.0502092050209205
C121332964,C177731217,0.0502092050209205
C121332964,C106978608,0.0502092050209205
C121332964,C161166931,0.09623430962343096
C121332964,C190475519,0.06276150627615062
C121332964,C173608175,0.06276150627615062
C121332964,C153946474,0.09205020920502092
C121332964,C5484521,0.09205020920502092
C121332964,C115260700,0.09205020920502092
C121332964,C21200559,0.09205020920502092
C121332964,C78902741,0.09205020920502092
C121332964,C556910895,0.09205020920502092
C121332964,C46141821,0.09205020920502092
C121332964,C2776029896,0.09205020920502092
C121332964,C32546565,0.09205020920502092
C121332964,C138268822,0.12552301255230125
C121332964,C24326235,0.09205020920502092
C121332964,C118552586,0.09205020920502092
C121332964,C127413603,0.09205020920502092
C121332964,C15744967,0.09205020920502092
C121332964,C77805123,0.09205020920502092
C121332964,C522805319,0.09205020920502092
C121332964,C113603373,0.03347280334728033
C121332964,C208081375,0.03347280334728033
C121332964,C33980943,0.03347280334728033
C121332964,C2778184138,0.07531380753138076
C121332964,C163716315,0.07531380753138076
C121332964,C152026323,0.07531380753138076
C121332964,C163173736,0.07531380753138076
C121332964,C178489894,0.11715481171548117
C121332964,C69497775,0.03347280334728033
C121332964,C177148314,0.05439330543933055
C121332964,C192122513,0.05439330543933055
C121332964,C2985568454,0.05439330543933055
C121332964,C113775141,0.04602510460251046
C121332964,C2781089630,0.11297071129707113
C121332964,C181500209,0.08368200836820083
C121332964,C2987822364,0.12552301255230125
C121332964,C58312451,0.08368200836820083
C121332964,C105795698,0.2928870292887029
C121332964,C149635348,0.08368200836820083
C121332964,C168090291,0.20920502092050208
C121332964,C97744766,0.13389121338912133
C121332964,C75553542,0.1087866108786611
C121332964,C106301342,0.13389121338912133
C121332964,C52622258,0.13389121338912133
C121332964,C24495805,0.1506276150627615
C121332964,C184049767,0.17573221757322174
C121332964,C77553402,0.1087866108786611
C121332964,C111472728,0.1297071129707113
C121332964,C99498987,0.1799163179916318
C121332964,C115961682,0.1799163179916318
C121332964,C59500034,0.058577405857740586
C121332964,C104434177,0.20502092050209206
C121332964,C205049153,0.0502092050209205
C121332964,C138622882,0.0502092050209205
C121332964,C185592680,0.13389121338912133
C121332964,C147789679,0.0502092050209205
C121332964,C18480692,0.06276150627615062
C121332964,C207579572,0.06276150627615062
C121332964,C44280652,0.11715481171548117
C121332964,C2778496695,0.06276150627615062
C121332964,C113494165,0.06276150627615062
C121332964,C28855332,0.06276150627615062
C121332964,C2780801425,0.06276150627615062
C121332964,C144237770,0.06276150627615062
C121332964,C147323434,0.06276150627615062
C121332964,C177142836,0.06276150627615062
C121332964,C2524010,0.06276150627615062
C121332964,C131017901,0.1087866108786611
C121332964,C45483111,0.0794979079497908
C121332964,C101973423,0.0794979079497908
C121332964,C64775481,0.0794979079497908
C121332964,C169345407,0.058577405857740586
