Concept1,Concept2,JaccardScore
C91717678,C121332964,0.21951219512195122
C91717678,C154255573,0.6153846153846154
C91717678,C187678412,0.36923076923076925
C91717678,C159317903,0.30344827586206896
C91717678,C62520636,0.21951219512195122
C91717678,C186468114,0.21951219512195122
C91717678,C187486625,0.456
C91717678,C84114770,0.21951219512195122
C91717678,C58053490,0.3248407643312102
C91717678,C169699857,0.25925925925925924
C91717678,C121040770,0.3247422680412371
C91717678,C5320026,0.3409090909090909
C91717678,C41241483,0.2846153846153846
C91717678,C206040425,0.31958762886597936
C91717678,C48103436,0.36363636363636365
C91717678,C33923547,0.295
C91717678,C118615104,0.25
C91717678,C41008148,0.2543103448275862
C91717678,C11413529,0.23529411764705882
C91717678,C158456648,0.3924050632911392
C91717678,C19271316,0.38823529411764707
C91717678,C169460222,0.32051282051282054
C91717678,C190463098,0.3867924528301887
C91717678,C51003876,0.291970802919708
C91717678,C203087015,0.47115384615384615
C91717678,C20593774,0.6
C91717678,C124148022,0.3076923076923077
C91717678,C190474826,0.366412213740458
C91717678,C122527463,0.32941176470588235
C91717678,C74939445,0.39080459770114945
C91717678,C89143813,0.2755905511811024
C91717678,C139356082,0.36363636363636365
C91717678,C136197465,0.2923076923076923
C91717678,C118704821,0.36923076923076925
C91717678,C184720557,0.3770491803278688
C91717678,C114614502,0.40707964601769914
C91717678,C154945302,0.25806451612903225
C91717678,C2781089630,0.35064935064935066
C91717678,C181500209,0.3076923076923077
C91717678,C77618280,0.34285714285714286
C91717678,C2987822364,0.3380281690140845
C91717678,C58312451,0.2876712328767123
C91717678,C134306372,0.3275862068965517
C91717678,C105795698,0.3391304347826087
C91717678,C149635348,0.2876712328767123
C91717678,C114671716,0.24615384615384617
C91717678,C183968085,0.32967032967032966
C91717678,C80444323,0.31092436974789917
C91717678,C15706264,0.30952380952380953
C91717678,C71799126,0.22857142857142856
C91717678,C206003972,0.18461538461538463
C91717678,C2778870898,0.25
C91717678,C32270708,0.22857142857142856
C91717678,C26873012,0.25
C91717678,C182953411,0.2976190476190476
C91717678,C144901912,0.3902439024390244
C91717678,C22984246,0.23728813559322035
C91717678,C155675718,0.27692307692307694
C91717678,C203103908,0.23595505617977527
C91717678,C104434177,0.25
C91717678,C204030448,0.26153846153846155
C91717678,C162967359,0.26153846153846155
C91717678,C185592680,0.3333333333333333
C91717678,C178790620,0.26153846153846155
C121332964,C154255573,0.13937282229965156
C121332964,C187678412,0.08362369337979095
C121332964,C159317903,0.43205574912891986
C121332964,C62520636,0.9930313588850174
C121332964,C186468114,0.9930313588850174
C121332964,C187486625,0.4076655052264808
C121332964,C84114770,0.9930313588850174
C121332964,C58053490,0.49825783972125437
C121332964,C169699857,0.7212543554006968
C121332964,C121040770,0.6689895470383276
C121332964,C5320026,0.3902439024390244
C121332964,C41241483,0.3554006968641115
C121332964,C206040425,0.21951219512195122
C121332964,C48103436,0.13937282229965156
C121332964,C33923547,0.6759581881533101
C121332964,C118615104,0.2264808362369338
C121332964,C41008148,0.7874564459930313
C121332964,C11413529,0.5052264808362369
C121332964,C192061203,0.0627177700348432
C121332964,C29248071,0.0627177700348432
C121332964,C131671149,0.0627177700348432
C121332964,C31402856,0.0627177700348432
C121332964,C137019171,0.21602787456445993
C121332964,C144271403,0.0627177700348432
C121332964,C15190523,0.0627177700348432
C121332964,C179061269,0.0627177700348432
C121332964,C80444323,0.3170731707317073
C121332964,C11255438,0.14982578397212543
C121332964,C190474826,0.397212543554007
C121332964,C45374587,0.23344947735191637
C121332964,C15184713,0.156794425087108
C121332964,C158456648,0.156794425087108
C121332964,C19271316,0.18466898954703834
C121332964,C169460222,0.13240418118466898
C121332964,C190463098,0.2857142857142857
C121332964,C51003876,0.3902439024390244
C121332964,C203087015,0.30662020905923343
C121332964,C20593774,0.24738675958188153
C121332964,C124148022,0.18815331010452963
C121332964,C122527463,0.1672473867595819
C121332964,C194975256,0.05574912891986063
C121332964,C55615164,0.05574912891986063
C121332964,C43682372,0.11846689895470383
C121332964,C27753989,0.10801393728222997
C121332964,C142465778,0.08362369337979095
C121332964,C58849907,0.156794425087108
C121332964,C94375191,0.06968641114982578
C121332964,C102565666,0.08362369337979095
C121332964,C177264268,0.13937282229965156
C121332964,C184720557,0.3588850174216028
C121332964,C114614502,0.32752613240418116
C121332964,C199360897,0.2682926829268293
C121332964,C22984246,0.28222996515679444
C121332964,C33332235,0.11149825783972125
C121332964,C139356082,0.24390243902439024
C121332964,C121864883,0.2578397212543554
C121332964,C2779960059,0.11498257839721254
C121332964,C39927690,0.09407665505226481
C121332964,C2780310539,0.11498257839721254
C121332964,C2776459999,0.09407665505226481
C121332964,C195545963,0.09407665505226481
C121332964,C127162648,0.24041811846689895
C121332964,C157486923,0.09407665505226481
C121332964,C76155785,0.28222996515679444
C121332964,C125411270,0.09407665505226481
C121332964,C41895202,0.17421602787456447
C121332964,C138885662,0.24390243902439024
C121332964,C134306372,0.31010452961672474
C121332964,C154945302,0.3170731707317073
C121332964,C111919701,0.1602787456445993
C121332964,C180214583,0.13937282229965156
C121332964,C2778361524,0.11149825783972125
C121332964,C95013731,0.09059233449477352
C121332964,C181543814,0.08362369337979095
C121332964,C89143813,0.33797909407665505
C121332964,C151201525,0.13937282229965156
C121332964,C48044578,0.07665505226480836
C121332964,C20788544,0.12195121951219512
C121332964,C2780385302,0.07665505226480836
C121332964,C119599485,0.08710801393728224
C121332964,C71924100,0.13588850174216027
C121332964,C204787440,0.13588850174216027
C121332964,C142724271,0.13588850174216027
C121332964,C77088390,0.13937282229965156
C121332964,C127413603,0.14982578397212543
C121332964,C74939445,0.1951219512195122
C121332964,C145148216,0.03484320557491289
C121332964,C91275184,0.03484320557491289
C121332964,C520434653,0.1916376306620209
C121332964,C68717125,0.3240418118466899
C121332964,C18762648,0.03484320557491289
C121332964,C183968085,0.1951219512195122
C121332964,C184779094,0.11498257839721254
C121332964,C32022120,0.07317073170731707
C121332964,C62611344,0.05226480836236934
C121332964,C761482,0.09059233449477352
C121332964,C15706264,0.156794425087108
C121332964,C120665830,0.27526132404181186
C121332964,C94915269,0.10452961672473868
C121332964,C2779832538,0.08362369337979095
C121332964,C203103908,0.156794425087108
C121332964,C78336883,0.06968641114982578
C121332964,C15336307,0.06968641114982578
C121332964,C2779843651,0.13588850174216027
C121332964,C168834538,0.06968641114982578
C121332964,C24890656,0.06968641114982578
C121332964,C144901912,0.17073170731707318
C121332964,C95466800,0.1672473867595819
C121332964,C71191651,0.05574912891986063
C121332964,C77618280,0.10104529616724739
C121332964,C26517878,0.11846689895470383
C121332964,C38652104,0.11846689895470383
C121332964,C31258907,0.10801393728222997
C121332964,C124657808,0.13588850174216027
C121332964,C74130334,0.11846689895470383
C121332964,C89298294,0.06620209059233449
C121332964,C9652623,0.09059233449477352
C121332964,C108225325,0.11846689895470383
C121332964,C121477167,0.11846689895470383
C121332964,C202444582,0.09059233449477352
C121332964,C136197465,0.06620209059233449
C121332964,C118704821,0.08362369337979095
C121332964,C66601787,0.05226480836236934
C121332964,C161166931,0.11149825783972125
C121332964,C28855332,0.08362369337979095
C121332964,C152026323,0.14982578397212543
C121332964,C2781181686,0.11149825783972125
C121332964,C44838205,0.04878048780487805
C121332964,C143724316,0.04878048780487805
C121332964,C49040817,0.14982578397212543
C121332964,C86803240,0.04878048780487805
C121332964,C151730666,0.04878048780487805
C121332964,C182953411,0.15331010452961671
C121332964,C59500034,0.08013937282229965
C121332964,C2777288060,0.10104529616724739
C121332964,C177731217,0.041811846689895474
C121332964,C106978608,0.08362369337979095
C121332964,C190475519,0.05226480836236934
C121332964,C173608175,0.10104529616724739
C121332964,C153946474,0.07665505226480836
C121332964,C5484521,0.07665505226480836
C121332964,C115260700,0.07665505226480836
C121332964,C21200559,0.07665505226480836
C121332964,C78902741,0.07665505226480836
